Result,GlassDamage,WaterDamage,BumperDamage,RolledOver,SideDoorDamage,SlidOffRoad,UrbanLocation,SuburbanLocation,RuralLocation,DayTime,NightTime,ClearWeather,RainyWeather,SnowyWeather,DryRoadCondition,WetRoadCondition,SnowyRoadCondition,Bumps&Dings,EngineDamage,ExtremeDamageSeverity,HighDamageSeverity,ModerateDamageSeverity,LowDamageSeverity,NoDamageSeverity
Precision,0.759616435,0.9583333,0.828032851,1.0,0.700435758,0.827020168,0.7777778,0.7102394,0.795222938,0.936943352,0.6666667,0.9194046,0.5555556,0.8425926,0.895691454,0.9285714,0.841269851,0.880252063,0.829277456,0.869806767,0.8,0.6666667,0.913630247,0.8325563
Recall,0.5082691,0.4827025,0.7323794,0.7041975,0.2927812,0.439792663,0.115904137,0.5611503,0.559682548,0.976837933,0.08472222,0.94330585,0.06944445,0.672222257,0.9052185,0.3647436,0.476190478,0.8208687,0.499513477,0.688950658,0.127104387,0.0496882647,0.3687102,0.3611111
